dimension1, dimension2
1.064256098123279148e+00,1.288271318234849860e-01
4.846222197334760784e-01,-6.256880451759992690e-02
4.356233272044407467e-01,2.547663235395849005e-02
1.208905258656158610e+00,2.485560695316262336e-01
8.486180109808626471e-01,-4.330313215173315355e-01
8.533900727115293350e-01,4.552623343054824634e-01
1.215348937314345346e+00,-1.160872718059192121e-01
7.134704889389738014e-01,1.630557077092992524e-01
7.456464610893265288e-01,1.525362694451048995e-01
1.219601295656606021e+00,-3.313706875371654620e-02
1.070713969400047816e+00,-1.191797506165698933e-01
1.129252105961536801e+00,3.367144088051688411e-01
1.014100407279950877e+00,5.374870568406139859e-02
9.430774405296808993e-01,8.639129468242558174e-02
9.869989637736988897e-01,-2.167339126132309668e-01
1.004232510493636488e+00,-8.879469971244079163e-03
1.101477364438463669e+00,1.182413235413386360e-01
9.104661228498703851e-01,-3.671613384009162796e-03
1.120533514924298313e+00,-3.484616612160956195e-01
1.240659728843853449e+00,-2.062083491323639939e-01
1.186516301215243985e+00,1.103021763650295500e-01
4.356972670353700394e-01,4.285335475072456213e-02
8.695804701815257332e-01,-1.394559984072243630e-01
1.009791234339278976e+00,-4.289454107823175788e-04
1.108909871218628496e+00,1.720188238446723750e-01
8.533996727906878466e-01,2.188616577901955351e-01
1.050499140937636300e+00,6.294110780096746904e-02
1.015330282648224225e+00,7.394817515202355140e-02
1.177100503982993374e+00,-1.135882963003178869e-01
7.299804115814496619e-01,1.561105057396369733e-01
8.230845742249306429e-01,2.539854300710252533e-01
1.153945798472774786e+00,2.012671216163646748e-01
1.033794486004282254e+00,-1.744934284884045728e-01
1.183388373562492824e+00,3.880763747836882827e-01
5.671185428332516931e-01,-5.324252617372737806e-03
7.345250984917628401e-01,-2.162371551415838700e-01
1.468079035281956157e+00,-1.539295035406276768e-01
1.212885756171349083e+00,-2.356338921362271521e-01
1.094836512707149545e+00,-1.992387098808100498e-01
1.212187911612617741e+00,2.959576488533664507e-01
1.143591085441300725e+00,1.471640749763684364e-01
9.416011416542221513e-01,-1.935154573945416789e-01
7.542623090897074833e-01,5.664096641314308317e-02
9.568347521230937680e-01,4.292458360641484560e-01
1.240839468133199119e+00,-2.560894865948785681e-01
6.348553962110976556e-01,3.006884330495046553e-01
9.131032717460555448e-01,-1.794409955368357623e-01
1.032626173244386214e+00,3.428555051206410575e-01
9.219342294370396207e-01,-2.373232132243323633e-01
1.101439961080435737e+00,-6.734971916518374402e-02
8.805886404010424551e-01,2.602460224957934276e-01
1.045395719058997974e+00,-2.173575719044621712e-01
1.147808570939255812e+00,4.245295549280115460e-02
