dimension1, dimension2
1.006092855710521983e+00,5.464954188847049275e-03
1.029108753493597872e+00,-1.186513420027003052e-01
1.210625705510285366e+00,6.298310575957294377e-02
8.972572468885121610e-01,-1.187979718532707757e-01
8.059105687505219162e-01,2.531127797158693599e-02
1.153537863326887347e+00,-8.708579818333515854e-02
1.213311172801628146e+00,-9.047005191033336002e-02
7.863347299550605962e-01,-4.238563274888542676e-01
1.250518452176135886e+00,-4.675746710191118483e-02
7.694089726626530679e-01,-1.751074901891369606e-01
8.186067445501902240e-01,-3.080076079622138807e-01
1.193841708483837527e+00,2.502773876617126955e-02
1.160858259693505756e+00,-2.725628883808924874e-01
9.800282693107273957e-01,2.034025334898420523e-01
8.224234237489636001e-01,-2.622952801837957204e-01
1.088802488286207515e+00,-6.214931141263872749e-02
7.183303121807589342e-01,1.781713931671187467e-01
1.038317498786339721e+00,-2.403247567514079919e-01
9.207234021794258316e-01,1.273757718817772056e-01
1.002870665082161272e+00,-2.210137422138051810e-01
9.022448940064311529e-01,-8.704441133485578755e-03
1.053842746775402572e+00,3.562013757639124339e-02
6.296145520296292375e-01,-4.849860985857522289e-02
7.610367793584347229e-01,2.044303521982594185e-01
1.191416486586629464e+00,-1.434622865384377333e-02
9.667059552517577314e-01,-1.235836582877702650e-01
8.088856992880234520e-01,-1.123363434718930853e-01
7.342047503249271578e-01,-8.357604320364978023e-02
1.039000455089838848e+00,1.668622305238258718e-01
1.225324712026875984e+00,1.777843232043215330e-02
1.167942402742375707e+00,1.094492902448435390e-01
9.766905041112919905e-01,7.326395011239328348e-02
9.101097136800868626e-01,-4.366290694579384041e-02
8.420871061061288021e-01,-9.323892725486677968e-02
1.257757450198915050e+00,-1.663667571178815419e-01
1.019040263381388423e+00,-1.209940468628074584e-01
1.064949411905688814e+00,3.351384921765100666e-02
1.194294320375649310e+00,8.257936458278611336e-02
9.534964403182153436e-01,-8.033541115794322340e-02
9.195342041505707442e-01,3.733477665034506954e-02
9.847731662936842767e-01,-2.664903315293156716e-01
9.965783588135714854e-01,7.396864196483354803e-02
1.245036311187948108e+00,-5.805028145866365091e-02
1.027003866807369992e+00,-3.095163907113883672e-01
