Longitude,Latitude,EC1,EC2,Elevation
-120.669675,35.298295,91.1,63.2,82.91
-120.669683,35.298295,81.5,60.9,82.945
-120.669696,35.298291,80.2,70.1,83.035
-120.669709,35.298283,82.6,56.4,83.05
-120.669721,35.29827,78.3,38.0,83.09
-120.66973,35.298254,67.9,33.7,83.185
-120.669739,35.298242,71.9,41.3,83.33
-120.669749,35.298237,81.9,45.9,83.75
-120.669753,35.298232,73.7,49.4,83.715
-120.669761,35.298224,74.4,45.6,83.69
-120.669768,35.298214,75.4,41.6,83.725
-120.669776,35.298204,69.5,42.6,83.735
-120.669785,35.298194,73.6,43.5,83.66
-120.669793,35.298183,78.1,44.0,83.585
-120.669802,35.298171,69.7,38.7,83.56
-120.669812,35.298159,59.2,34.1,83.6
-120.669822,35.298146,65.4,45.5,83.555
-120.669832,35.298134,66.2,54.5,83.42
-120.669843,35.298121,70.5,46.9,83.395
-120.669853,35.298108,71.1,44.1,83.425
-120.669864,35.298095,69.3,44.7,83.39
-120.669875,35.298082,73.7,52.9,83.3
-120.669884,35.298071,74.4,46.5,83.245
-120.669892,35.298062,75.1,47.9,83.265
-120.669902,35.298049,76.1,70.5,83.295
-120.669915,35.298031,85.1,69.3,83.33
-120.669929,35.298013,87.6,71.6,83.38
-120.669944,35.297995,81.1,81.8,83.415
-120.669957,35.297979,70.8,79.8,83.365
-120.669967,35.297965,68.8,76.3,83.27
-120.669976,35.297953,77.6,74.9,83.25
-120.669985,35.297941,82.9,63.1,83.22
-120.669994,35.297929,62.1,25.5,83.06
-120.670003,35.297916,58.3,26.8,82.9
-120.670011,35.297903,63.7,57.4,82.795
-120.670019,35.297889,69.6,70.3,82.68
-120.670029,35.297874,74.3,65.6,82.565
-120.67004,35.297858,78.9,68.8,82.5
-120.670052,35.297842,87.7,72.6,82.495
-120.670064,35.297826,84.9,64.1,82.45
-120.670075,35.29781,84.3,65.1,82.375
-120.670088,35.297795,70.6,62.9,82.33
-120.6701,35.29778,68.3,63.4,82.32
-120.670114,35.297763,69.0,59.6,82.345
