Longitude,Latitude,EC1,EC2,Elevation
-120.040134,34.690703,17.6,18.8,329.185
-120.040133,34.690707,22.0,19.2,329.175
-120.040133,34.690713,20.1,30.4,329.175
-120.040132,34.690722,20.3,30.2,329.19
-120.040132,34.690735,22.3,38.9,329.185
-120.040132,34.690751,27.1,34.3,329.145
-120.040132,34.69077,26.5,43.9,329.095
-120.040133,34.690788,24.5,47.3,329.04
-120.040135,34.690805,16.8,35.3,329.005
-120.040135,34.690822,25.3,43.3,329.03
-120.040135,34.69084,24.2,40.5,329.075
-120.040135,34.690858,19.0,41.9,329.085
-120.040136,34.690878,26.4,42.6,329.09
-120.040136,34.690886,21.6,37.7,329.135
-120.040135,34.690898,17.4,38.4,329.2
-120.040134,34.690913,18.9,34.0,329.245
-120.040134,34.690928,25.9,31.3,329.27
-120.040135,34.690943,27.3,49.5,329.285
-120.040135,34.690958,27.8,33.8,329.285
-120.040135,34.690972,29.3,48.7,329.27
-120.040136,34.690987,22.1,32.3,329.285
-120.040138,34.691001,24.3,45.1,329.33
-120.040139,34.691016,28.0,41.9,329.34
-120.040139,34.69103,33.0,48.1,329.31
-120.04014,34.691045,27.2,37.9,329.28
-120.04014,34.69106,30.8,42.7,329.265
-120.04014,34.691075,25.6,35.4,329.27
-120.040141,34.69109,22.6,30.5,329.295
-120.040142,34.691104,22.4,39.8,329.33
-120.040142,34.691119,18.5,54.9,329.36
-120.040143,34.691134,22.6,34.8,329.375
-120.040143,34.691149,22.6,45.9,329.385
-120.040143,34.691164,20.0,46.2,329.4
-120.040143,34.691179,15.5,49.1,329.405
-120.040143,34.691194,20.0,26.8,329.41
-120.040143,34.691209,30.1,67.6,329.445
-120.040143,34.691224,29.1,44.8,329.485
-120.040143,34.691238,27.0,34.5,329.505
-120.040143,34.691253,31.6,37.3,329.53
-120.040144,34.691268,30.7,36.5,329.54
-120.040145,34.691283,32.9,46.5,329.515
-120.040146,34.691298,34.9,61.9,329.485
-120.040147,34.691313,28.1,49.1,329.46
-120.040148,34.691328,31.5,43.8,329.47
-120.040148,34.691343,28.8,63.8,329.5
-120.040148,34.691358,31.7,50.6,329.535
-120.040149,34.691373,21.2,36.7,329.58
-120.04015,34.691387,26.2,47.9,329.605
-120.04015,34.691402,25.6,41.5,329.63
-120.040151,34.691417,24.7,35.1,329.67
-120.04015,34.691432,38.2,40.8,329.68
-120.04015,34.691447,22.7,40.7,329.675
-120.040149,34.691463,24.1,31.5,329.715
-120.040149,34.691478,17.3,30.9,329.755
-120.040149,34.691493,22.7,35.7,329.76
-120.040151,34.691508,21.6,33.8,329.75
-120.040152,34.691523,24.7,38.2,329.745
-120.040153,34.691539,21.7,28.5,329.745
-120.040153,34.691554,22.4,50.6,329.735
-120.040155,34.691569,17.3,39.9,329.74
-120.040157,34.691585,19.7,44.7,329.75
-120.040158,34.6916,20.4,30.0,329.74
-120.040157,34.691616,25.0,36.2,329.74
-120.040157,34.691631,31.1,36.4,329.775
-120.040159,34.691645,30.3,38.5,329.82
-120.04016,34.69166,29.1,38.9,329.87
-120.04016,34.691675,21.3,28.8,329.925
-120.040161,34.69169,26.5,28.0,329.97
-120.04016,34.691702,25.5,49.3,330.0
