Longitude,Latitude,EC1,EC2,Elevation
-96.498612,41.165176,12.9,10.3,356.8
-96.498612,41.16519,12.7,11.2,356.8
-96.498611,41.165208,12.9,10.0,356.8
-96.498609,41.165232,14.5,10.3,356.8
-96.498608,41.165258,15.7,12.6,356.8
-96.498606,41.165286,18.9,13.6,356.8
-96.498604,41.165315,17.8,13.5,356.8
-96.4986,41.165346,17.8,13.7,356.8
-96.498595,41.165377,14.2,11.5,356.8
-96.49859,41.165408,14.8,14.5,356.8
-96.498585,41.165439,15.4,15.1,356.8
-96.49858,41.16547,16.9,17.9,356.8
-96.498576,41.165503,15.9,16.0,356.8
-96.498569,41.165537,15.0,14.0,356.8
-96.498562,41.165572,14.5,15.0,356.8
-96.498555,41.165607,14.2,15.7,356.8
-96.498549,41.165647,15.6,18.4,356.8
-96.498543,41.165692,16.5,21.0,356.8
-96.49854,41.165736,17.6,22.8,356.8
-96.498538,41.165778,18.2,23.0,356.8
-96.498536,41.16582,17.3,23.3,356.8
-96.498533,41.165863,17.0,25.8,356.8
-96.498529,41.165906,17.6,28.0,356.8
-96.498527,41.165947,18.4,27.0,356.8
-96.498526,41.165989,16.9,29.9,356.8
-96.498525,41.166034,22.6,25.4,356.8
-96.498524,41.16608,21.9,26.6,356.8
-96.498522,41.166125,21.3,31.1,356.8
-96.498521,41.16617,21.6,33.6,356.8
-96.49852,41.166211,22.6,37.3,356.8
-96.498519,41.166246,24.2,41.3,356.8
-96.498518,41.16628,25.1,47.8,356.8
-96.498516,41.166315,27.3,46.7,356.8
-96.498514,41.166351,25.6,45.0,356.8
-96.498512,41.166387,23.4,38.2,356.8
-96.498511,41.166422,23.2,39.5,356.8
-96.49851,41.166459,22.2,41.3,356.8
-96.49851,41.166498,25.9,54.5,356.8
-96.498509,41.166538,26.0,45.2,356.8
-96.498508,41.166578,24.6,47.5,356.8
-96.498507,41.166619,30.6,46.2,356.8
-96.498505,41.166659,31.6,47.0,356.8
-96.498503,41.166699,25.7,47.6,356.7
-96.498501,41.166739,25.5,44.3,356.7
-96.4985,41.16678,22.9,36.7,356.7
-96.498498,41.166821,27.4,48.6,356.7
-96.498496,41.166862,32.9,55.7,356.7
-96.498495,41.166903,28.9,49.3,356.7
-96.498492,41.166943,27.1,42.9,356.7
-96.498491,41.166985,30.9,45.2,356.7
-96.49849,41.167025,28.9,42.3,356.7
-96.498488,41.167066,32.2,47.7,356.7
-96.498487,41.167107,35.6,59.5,356.7
-96.498487,41.167151,25.9,37.7,356.7
-96.498486,41.167196,19.9,29.4,356.7
-96.498484,41.16724,20.3,27.1,356.7
